seed,layer,alpha,onek1k_r,onek1k_mae,aida_r,aida_mae,aida_ci_lo,aida_ci_hi,n_train,n_eval,n_aida
0,0,0.01,0.342238,28.4718,0.316525,10.7919,0.220627,0.412887,190,981,293
0,1,0.1,0.505707,27.2594,0.476973,9.17292,0.396136,0.551322,190,981,293
0,2,0.1,0.471035,31.9753,0.494284,8.35613,0.41301,0.570414,190,981,293
0,3,0.1,0.53858,22.4322,0.433481,8.76067,0.339553,0.520026,190,981,293
0,4,0.1,0.500727,39.6569,0.451487,8.25681,0.352031,0.537091,190,981,293
0,5,1,0.583706,25.2229,0.427225,10.0456,0.336738,0.514415,190,981,293
0,6,0.1,0.612067,25.694,0.558435,8.13257,0.474301,0.631275,190,981,293
0,7,0.1,0.592491,22.8088,0.540277,7.6815,0.45139,0.619791,190,981,293
0,8,0.1,0.606919,34.3404,0.611805,7.62106,0.537828,0.67709,190,981,293
0,9,0.1,0.616534,29.8907,0.61669,6.92084,0.544445,0.680859,190,981,293
0,10,0.1,0.629823,25.2196,0.614915,7.8199,0.541722,0.678055,190,981,293
0,11,0.1,0.561771,35.2298,0.627971,8.86023,0.556843,0.689915,190,981,293
0,12,10,0.635944,11.003,0.613422,8.02353,0.546086,0.676144,190,981,293
1,0,0.01,0.342238,28.4718,0.316525,10.7919,0.220627,0.412887,190,981,293
1,1,0.1,0.497077,27.2833,0.466356,9.11626,0.384289,0.543221,190,981,293
1,2,0.1,0.471227,34.2839,0.466361,8.46448,0.382764,0.545057,190,981,293
1,3,0.1,0.529045,30.8719,0.421404,8.98041,0.326087,0.513398,190,981,293
1,4,0.1,0.518672,39.2209,0.395168,9.57153,0.292759,0.489197,190,981,293
1,5,1,0.60241,20.4976,0.419484,9.14301,0.328223,0.508891,190,981,293
1,6,0.1,0.640619,19.7889,0.51668,8.04066,0.424637,0.595432,190,981,293
1,7,0.1,0.613872,21.1644,0.502729,7.99304,0.411215,0.585689,190,981,293
1,8,0.1,0.605429,28.9592,0.56191,7.67564,0.483902,0.633519,190,981,293
1,9,0.1,0.613654,21.3519,0.567315,7.66352,0.493697,0.636999,190,981,293
1,10,0.1,0.623787,16.0082,0.587675,7.61454,0.517156,0.654703,190,981,293
1,11,0.1,0.574333,17.568,0.617583,8.08584,0.550369,0.679793,190,981,293
1,12,10,0.645009,13.4209,0.58593,8.57944,0.516123,0.65488,190,981,293
