fold,cap,method,n_seeds,best_layer_holdout,holdout_R_mean,holdout_R_std,stable_layer_holdout,stable_holdout_R_mean,stable_holdout_R_std,best_layer_aida,aida_R_mean,aida_R_std,stable_layer_aida,stable_aida_R_mean,stable_aida_R_std
loco_onek1k,1,FM,3,12.0000,0.0995,0.1430,12.0000,0.0995,0.1430,8.0000,0.1227,0.2017,8.0000,0.1227,0.2017
loco_onek1k,5,FM,3,12.0000,0.3107,0.0582,12.0000,0.3107,0.0582,7.0000,0.3349,0.0611,10.0000,0.3207,0.0324
loco_onek1k,10,FM,3,12.0000,0.4292,0.0612,12.0000,0.4292,0.0612,12.0000,0.4004,0.0814,10.0000,0.3845,0.0160
loco_onek1k,20,FM,3,12.0000,0.5199,0.0462,12.0000,0.5199,0.0462,10.0000,0.5216,0.0382,10.0000,0.5216,0.0382
loco_onek1k,50,FM,3,12.0000,0.5570,0.0788,2.0000,0.5418,0.0612,3.0000,0.5976,0.0252,3.0000,0.5976,0.0252
loco_onek1k,100,FM,3,10.0000,0.6240,0.0529,10.0000,0.6240,0.0529,3.0000,0.6648,0.0349,12.0000,0.6468,0.0152
loco_onek1k,500,FM,3,12.0000,0.6635,0.0262,11.0000,0.6498,0.0068,1.0000,0.6944,0.0378,9.0000,0.6896,0.0129
loco_onek1k,1000,FM,3,11.0000,0.6567,0.0238,10.0000,0.6541,0.0157,1.0000,0.7241,0.0143,1.0000,0.7241,0.0143
loco_terekhova,1,FM,3,12.0000,0.1548,0.1831,12.0000,0.1548,0.1831,4.0000,0.1481,0.1490,4.0000,0.1481,0.1490
loco_terekhova,5,FM,3,12.0000,0.3594,0.0860,12.0000,0.3594,0.0860,4.0000,0.3925,0.0503,4.0000,0.3925,0.0503
loco_terekhova,10,FM,3,12.0000,0.5409,0.0780,12.0000,0.5409,0.0780,4.0000,0.4720,0.0227,4.0000,0.4720,0.0227
loco_terekhova,20,FM,3,12.0000,0.5767,0.0008,12.0000,0.5767,0.0008,12.0000,0.5440,0.0585,4.0000,0.5278,0.0274
loco_terekhova,50,FM,3,1.0000,0.7116,0.0209,7.0000,0.7052,0.0123,12.0000,0.6565,0.0104,12.0000,0.6565,0.0104
loco_terekhova,100,FM,3,1.0000,0.7560,0.0166,1.0000,0.7560,0.0166,12.0000,0.6627,0.0171,12.0000,0.6627,0.0171
loco_terekhova,500,FM,3,9.0000,0.8020,0.0095,9.0000,0.8020,0.0095,0.0000,0.6096,0.0232,0.0000,0.6096,0.0232
loco_terekhova,1000,FM,3,1.0000,0.8151,0.0040,9.0000,0.8137,0.0024,1.0000,0.6138,0.0019,1.0000,0.6138,0.0019
loco_onek1k,1,gene-EN,3,,0.0557,0.0341,,,,,-0.0014,0.0649,,,
loco_onek1k,5,gene-EN,3,,0.0974,0.0880,,,,,0.1114,0.1326,,,
loco_onek1k,10,gene-EN,3,,0.2008,0.0417,,,,,0.2471,0.1050,,,
loco_onek1k,20,gene-EN,3,,0.4068,0.0680,,,,,0.3798,0.0181,,,
loco_onek1k,50,gene-EN,3,,0.5293,0.0467,,,,,0.5167,0.0723,,,
loco_onek1k,100,gene-EN,3,,0.6180,0.0088,,,,,0.6480,0.0298,,,
loco_onek1k,500,gene-EN,3,,0.7005,0.0261,,,,,0.6965,0.0343,,,
loco_onek1k,1000,gene-EN,3,,0.7373,0.0063,,,,,0.7157,0.0438,,,
loco_terekhova,1,gene-EN,3,,0.0429,0.0860,,,,,0.0336,0.0227,,,
loco_terekhova,5,gene-EN,3,,0.2434,0.0430,,,,,0.2053,0.0163,,,
loco_terekhova,10,gene-EN,3,,0.4636,0.0588,,,,,0.3325,0.0193,,,
loco_terekhova,20,gene-EN,3,,0.5317,0.0549,,,,,0.3809,0.0303,,,
loco_terekhova,50,gene-EN,3,,0.7006,0.0049,,,,,0.5698,0.0518,,,
loco_terekhova,100,gene-EN,3,,0.7545,0.0466,,,,,0.6710,0.0417,,,
loco_terekhova,500,gene-EN,3,,0.8452,0.0041,,,,,0.7222,0.0148,,,
loco_terekhova,1000,gene-EN,3,,0.8640,0.0012,,,,,0.7196,0.0059,,,
